Package Name                          Version                              Info
libreoffice-script-provider-bsh       1:6.1.5-3+rpi1+deb10u7+rpt1          BeanShell script support provider for LibreOffice scripting framework
libreoffice-script-provider-js        1:6.1.5-3+rpi1+deb10u7+rpt1          JavaScript script support provider for LibreOffice scripting framewor
libreoffice-script-provider-python    1:6.1.5-3+rpi1+deb10u7+rpt1          Python script support provider for LibreOffice scripting framework   
libreoffice-sdbc-firebird:armhf       1:6.1.5-3+rpi1+deb10u7+rpt1          Firebird SDBC driver for LibreOffice                                 
libreoffice-sdbc-hsqldb:armhf         1:6.1.5-3+rpi1+deb10u7+rpt1          HSQLDB SDBC driver for LibreOffice                                   
libreoffice-sdbc-postgresql:armhf     1:6.1.5-3+rpi1+deb10u7+rpt1          PostgreSQL SDBC driver for LibreOffice                               
libreoffice-style-colibre             1:6.1.5-3+rpi1+deb10u7+rpt1          office productivity suite -- colibre symbol style                    
libreoffice-style-tango               1:6.1.5-3+rpi1+deb10u7+rpt1          office productivity suite -- Tango symbol style                      
libreoffice-wiki-publisher            1.2.0+LibO6.1.5-3+rpi1+deb10u7+rpt1  LibreOffice extension for working with MediaWiki articles            
libreoffice-writer:armhf              1:6.1.5-3+rpi1+deb10u7+rpt1          office productivity suite -- word processor                          
libreoffice:armhf                     1:6.1.5-3+rpi1+deb10u7+rpt1          office productivity suite (metapackage)                              
librepository-java                    1.1.6-3                              abstraction library for accessing hierachic bulk content             
librevenge-0.0-0:armhf                0.0.4-6                              Base Library for writing document interface filters                  
librngom-java                         2.3.0.1-8                            Java library for parsing RELAX NG grammars                           
librtaudio6:armhf                     5.0.0~ds-3                           C++ library for realtime audio input/ouput                           
librtmidi4:armhf                      3.0.0~ds1-2+b1                       C++ library for realtime MIDI input/ouput                            
libruby2.5:armhf                      2.5.5-3+deb10u3                      Libraries necessary to run Ruby 2.5                                  
libsac-java                           1.3+dfsg-5                           Simple API for CSS Java library                                      
libsaxonhe-java                       9.9.0.2+dfsg-1                       Saxon-HE is the XSLT and XQuery Processor                            
libscsynth1:armhf                     1:3.10.0+repack-1+rpi1               SuperCollider synthesis server library                               
libserializer-java                    1.1.6-5                              general serializaton framework                                       
libservlet-api-java                   4.0.1-2                              Java Servlet API                                                     
libservlet3.1-java                    1:4.0.1-2                            Java Servlet API 3.1 (transitional package)                          
libsisu-guice-java                    4.2.0-1                              Patched build of Google Guice for Sisu-IoC                           
libsisu-inject-java                   0.3.3-1                              Dependency Injection container for Java                              
libsisu-ioc-java                      2.3.0-11                             JSR 330 container and OSGi/Plexus adapter                            
libsisu-plexus-java                   0.3.3-3                              Plexus adapter for the Sisu dependency injection container           
libslf4j-java                         1.7.25-3                             Simple Logging Facade for Java                                       
libsm-dev:armhf                       2:1.2.3-1                            X11 Session Management library (development headers)                 
libsnappy-java                        1.1.7.2-1                            Snappy for Java, a fast compressor/decompresser                      
libsnappy-jni:armhf                   1.1.7.2-1                            Snappy for Java, a fast compressor/decompresser (JNI library)        
libssl-dev:armhf                      1.1.1d-0+deb10u6+rpt1                Secure Sockets Layer toolkit - development files                     
libstaroffice-0.0-0:armhf             0.0.6-1                              Import filter library to import all StarOffice documents             
libstax-ex-java                       1.7.8-3                              Extended StAX API                                                    
libstk-4.5.0:armhf                    4.5.2+dfsg-5+b2                      Sound Synthesis Toolkit                                              
libstreambuffer-java                  1.5.4-1                              XML Stream Buffer                                                    
libsuitesparseconfig5:armhf           1:5.4.0+dfsg-1                       configuration routines for all SuiteSparse modules                   
